College Name,Address,District,Type
GENBA SOPANRAO MOZE COLLEGE OF ENGINEERING,"S. NO. 25/1/3, BALEWADI,PUNE",PUNE,Private-Self Financing
HASHMATRAI & GANGARAM HIMATHMAL MANSUKHANI INSTITUTE OF MANAGEMENT,"CHM COLLEGE CAMPUS, OPP : RAILWAY STATION, ULHASNAGAR",THANE,Private-Self Financing
S. B. PATIL INSTITUTE OF MANAGEMENT,"SECTOR NO. 26, PRADHIKARAN, NIGDI",PUNE,Private-Self Financing
MARATHWADA MITRA MANDAL'S INSTITUTE OF TECHNOLOGY,"S. NO. 35, PLOT NO. 5/6, LOHGAON, PUNE -411032",PUNE,Private-Self Financing
M B E SOCIETY'S COLLEGE OF ENGINEERING AMBAJOGAI,"MOREWADI, NEAR YESHWANTRAO CHAVAN CIRCLE, AMBAJOGAI, TQ:AMBAJOGAI, DIST: BEED (MS)-431517",BEED,Private-Self Financing
IES'S MANAGEMENT COLLEGE AND RESEARCH CENTRE,"PLOT NO.791,SHRI KRISHNACHAND MARG, BANDRA RECLAMATION , BANDRA ( W) MUMBAI-400050",MUMBAI SUBURBAN,Private-Self Financing
ORANGE CITY INSTITUTE OF MANAGEMENT,"GREEN HEAVEN VILLAGE ZARI, BEHIND SAHARA CITY,TAH-NAGPUR RURAL, DIST NAGPUR",NAGPUR,Private-Self Financing
INSTITUTE OF MANAGEMENT AND ENTREPRENEURSHIP DEVELOPMENT - MCA PROGRAMME,"BHARATI VIDYAPEETH EDUCATIONAL COMPLEX,PAUD ROAD,ERANDAWANE,",PUNE,Private-Self Financing
"SHANTI EDUCATION SOCIETY'S, A.G. PATIL INSTITUTE OF TECHNOLOGY","18(2/2A), PRATAP NAGAR, SOREGAON TAL : NORTH SOLAPUR DIST. : SOLAPUR",SOLAPUR,Private-Self Financing
RAJGAD TECHNICAL CAMPUS,"S.NO. 237, DHANGWADI, TAL. BHOR, DIST. PUNE",PUNE,Private-Self Financing
"MODERN EDUCATION SOCIETYâS WADIA COLLEGE OF ENGINEERING, PUNE","WADIA COLLEGE CAMPUS, 19 LATE PRIN V K JOAG PATH, PUNE 411 001",PUNE,Private-Self Financing
SHARAD INSTITUTE OF TECHNOLOGY COLLEGE OF ENGINEERING,"BEHIND ONKARESHWAR MANDIR, YADRAV-ICHALKARNJI TAL-SHIROL DIST.- KOLHAPUR MAHARASHTRA PIN- 416121",KOLHAPUR,Private-Self Financing
PRAVARA RURAL ENGINEERING COLLEGE,"A/P-LONI, TAL:RAHATA, DIST:AHMEDNAGAR",AHMEDNAGAR,Private-Self Financing
VAIKUNTH MEHTA NATIONAL INSTITUTE OF COOPERATIVE MANAGEMENT,"UNIVERSITY ROAD, PUNE 411 007",PUNE,Govt aided
BHARATI VIDYAPEETH'S JAWAHARLAL NEHRU INSTITUTE OF TECHNOLOGY,"PUNE SATARA ROAD, DHANKAWADI",PUNE,Private-Self Financing
JAWAHARLAL DARDA INSTITUTE OF ENGINEERING & TECHNOLOGY,"M.I.D.C., LOHARA, YAVATMAL-445001.",YAVATMAL,Private-Self Financing
DR. VITHALRAO VIKHE PATIL COLLEGE OF ENGINEERING AHMEDNAGAR,"P.O.- M I D C , VILAD GHAT , AHMEDNAGAR 414111 MAHARASHTRA",AHILYANAGAR,Private-Self Financing
"PADMABHOOSHAN VASANTDADA PATIL INSTITUTE OF TECHNOLOGY, PUNE","SR. NO. 33/22, BAVDHAN (KHURD) OFF PIRANGUT ROAD, NEAR CHANDANI CHOWK, BAVDHAN, PUNE 21",PUNE,Private-Self Financing
"SMT. RADHIKATAI PANDAV COLLEGE OF ENGINEERING,","NEAR DIGHORI NAKA, UMRER ROAD, NAGPUR",NAGPUR,Private-Self Financing
SADHU VASWANI INSTITUTE OF MANAGEMENT STUDIES FOR GIRLS,6 KOREGAON ROAD PUNE,PUNE,Private-Self Financing
GURU NANAK INSTITUTE OF TECHNOLOGY,"KHASARA NO. 94, MOUZA DAHEGAON, KALMESHWAR ROAD, NAGPUR",NAGPUR,Private-Self Financing
"G H RAISONI COLLEGE OF ENGINEERING & MANAGEMENT, NAGPUR","37-39/1, SHRADHA PARK, HARIGANGA, HINGANA - WADI LINK ROAD, NAGPUR-16",NAGPUR,Private-Self Financing
MET'S INSTITUTE OF ENGINEERING,"BHUJBAL KNOWLEDGE CITY, ADGAON",NASHIK,Private-Self Financing
PROF. RAM MEGHE INSTITUTE OF TECHNOLOGY AND RESEARCH,"ANJANGAON BARI ROAD, BADNERA",AMRAVATI,Private-Self Financing
CENTRAL PROVINCE COLLEGE OF BUSINESS MANAGEMENT & STUDIES,"SURVEY NO-24, PH.NO.12-A, MOUZA : LONARA, TAH:NAGPUR",NAGPUR,Private-Self Financing
"ABHINAV EDUCATION SOCIETY'S INSTITTUTE OF MANAGEMENT & BUSINESS ADMINISTRATION, AKOLE","DHAMANGAON AWARI ROAD, AKOLE TAL.: AKOLE DIST.: AHMEDNAGAR",AHMEDNAGAR,Private-Self Financing
"RAJIV GANDHI COLLEGE OF ENGINEERING, RESEARCH AND TECHNOLOGY","BALLARPUR ROAD, BABUPETH",CHANDRAPUR,Private-Self Financing
"GOKHALE EDUCATION SOCIETY'S R. H. SAPAT COLLEGE OF ENGINEERING, MANAGEMENT STUDIES & RESEARCH","PRIN. T. A. KULKARNI VIDYANAGAR, COLLEGE ROAD",NASHIK,Private-Self Financing
PILLAI COLLEGE OF ENGINEERING,"DR. K. M. VASUDEVAN PILLAIS, SECTOR 16, NEW PANVEL, NAVI MUMBAI -410206",RAIGAD,Private-Self Financing
"BHARATI VIDYAPEETH ABHIJIT KADAM INSTITUTE OF MANAGEMENT AND SOCIAL SCIENCES, SOLAPUR(MBA PROGRAMME)","BHARATI VIDYAPEETH CAMPUS, BIJAPUR ROAD, SOLAPUR-413004",SOLAPUR,Private-Self Financing
NKSPT'S INSTITUTE OF MANAGEMENT,"NIRMAL COMPUS HIGHWAY NO. 6, AURANGABAD - JALNA ROAD, TQ. BADNAPUR, DIST.JALNA",JALNA,Private-Self Financing
COLLEGE OF ENGINEERING,"HADAPSAR-MANJARI ROAD, MANJARI BK.",PUNE,Private-Self Financing
FINOLEX ACADEMY OF MANAGEMENT AND TECHNOLOGY,"P-60, P-60/1 MIDC,MIRJOLE RATNAGIRI,MAHARASHTRA",RATNAGIRI,Private-Self Financing
"DHOLE PATIL EDUCATION SOCIETY'S, DHOLE PATIL COLLEGE OF ENGINEERING.","1284, UBALE NAGAR, WAGHOLI, PUNE - 412207.",PUNE,Private-Self Financing
ATHARVA INSTITUTE OF MANAGEMENT STUDIES,MALAD MARVE ROAD CHARKOP NAKA MALAD (WEST) MUMBAI 400 095,MUMBAI SUBURBAN,Private-Self Financing
ROHIDAS PATIL INSTITUTE OF MANAGEMENT STUDIES,"MAHAVIDHYALAY MARG, NAVGHAR ROAD, BHAYANDAR EAST",THANE,Private-Self Financing
VIDARBHA INSTITUTE OF TECHNOLOGY,"VIDARBHA INSTITUTE OF TECHNOLOGY, MOUZA: UTI(BHIVAPUR),UMRER ROAD, NAGPUR",NAGPUR,Private-Self Financing
SHATABDI INSTITUTE OF ENGINEERING & RESEARCH,"AT POST : AGASKHIND, VIA : DEOLALI CAMP-BHAGUR, TAL. SINNAR, DIST : NASHIK PIN : 422 502",NASHIK,Private-Self Financing
"INSTITUTE OF MANAGEMENT STUDIES, CAREER DEVELOPMENT & RESEARCH","IMS CAMPUS, STATION ROAD,AHMEDNAGAR : 414 001MAHARASHTRA",AHMEDNAGAR,Private-Self Financing
ZEAL INSTITUTE OF MANAGEMENT & COMPUTER APPLICATION,S.NO.39 NARHE PUNE,PUNE,Private-Self Financing
"KARMAVEER BHAURAO PATIL COLLEGE OF ENGINEERING, SATARA","SADAR BAZAR, NEAR RTO OFFICE,SATARA MAHARASHTRA",SATARA,Private-Self Financing
BALAJI INSTITUTE OF TECHNOLOGY & MANAGEMENT (BITM),"S.NO.55/2-7, TATHAWADE",PUNE,Private-Self Financing
DR. AMBEDKAR INSTITUTE OF MANAGEMENT STUDIES AND RESEARCH,"DEEKSHABHOOMI, NAGPUR",NAGPUR,Private-Self Financing
PTVA'S INSTITUTE OF MANAGEMENT,"PTVA'S INSTITUTE OF MANAGEMENT CHITRAKAR KETKAR MARG, VILE PARLE-EAST. MUMBAI-400 057.",MUMBAI SUBURBAN,Private-Self Financing
DR. D. Y. PATIL INSTITUTE OF MANAGEMENT STUDIES,"SEC.29, BEHIND AKURDI RAILWAY STATION, PRADHIKARAN, NIGDI, PUNE",PUNE,Private-Self Financing
TIRPUDE INSTITUTE OF MANAGEMENT EDUCATION,"1, BALASAHEB TIRPUDE MARG, CIVIL LINES, SADAR, NAGPUR",NAGPUR,Private-Self Financing
TRINITY INSTITUTE OF MANAGEMENT & RESEARCH,"SR. NO.25 & 27, VILLAGE - PISOLI, POST- YEWALEWADI (BOPDEV GHAT)",PUNE,Private-Self Financing
SAU. LEENA KISHOR MAMIDWAR INSTITUTE OF MANAGEMENT STUDIES AND RESEARCH,"SAU. LEENA KISHOR MAMIDWAR INSTITUTE OF MANAGEMENT STUDIES & RESEARCH,OPP. SHARMA PETROL PUMP, KOSARA, CHANDRAPUR",CHANDRAPUR,Private-Self Financing
BALAJI INSTITUTE OF INTERNATIONAL BUSINESS (BIIB),"S.NO.-55/2-7, VILLAGE TATHAWADE",PUNE,Private-Self Financing
"DEPARTMENT OF MANAGEMENT SCIENCES AND RESEARCH, G.S. COLLEGE OF COMMERCE AND ECONOMICS, NAGPUR","AMRAVATI ROAD, CIVIL LINES, LAW COLLEGE SQUARE, NAGPUR",NAGPUR,Private-Self Financing
ANJUMAN COLLEGE OF ENGINEERING & TECHNOLOGY,"MANGALWARI BAZAR,SADAR, NAGPUR",NAGPUR,Private-Self Financing
ADITYA INSTITUTE OF MANAGEMENT - AIMS,"SR.NO.42(PART), NARHE-AMBEGAON, NEAR SPRINGDALE SCHOOL, PUNE.",PUNE,Private-Self Financing
"BHARATI VIDYAPEETH ABHIJIT KADAM INSTITUTE OF MANAGEMENT AND SOCIAL SCIENCES,SOLAPUR-413004","BHARATI VIDYAPEETH ,VIJAPUR ROAD, SOLAPUR-413004",SOLAPUR,Private-Self Financing
"ALL INDIA SHRI SHIVAJI MEMORIAL SOCIETY'S COLLEGE OF ENGINEERING, PUNE-1","KENNEDY ROAD, NEAR RTO, PUNE-411001.",PUNE,Private-Self Financing
SINDHUDURG SHIKSHAN PRASARAK MANDAL'S COLLEGE OF ENGINEERING,HARKUL(BUDRUK) KANKAVLI TAL:KANKAVLI,SINDHUDURG,Private-Self Financing
MADANBHAI SURA INSTITUTE OF BUSINESS MANAGEMENT,"AT POST TALUKA KHED , DISTRICT RATNAGIRI.",RATNAGIRI,Private-Self Financing
"SWAYAM SIDDHI MITRA SANGH""S COLLEGE OF MANAGEMENT AND RESEARCH","SONADEVI COMPOUND, TEMGHAR, KALYAN -BHIWANDI ROAD, BHIWANDI, DIST-THANE,421203",THANE,Private-Self Financing
NEVILLE WADIA INSTITUTE OF MANAGEMENT STUDIES & RESEARCH,"19, LATE PRIN. V. K. JOAG PATH",PUNE,Private-Self Financing
"JAYAWANT SHIKSHAN PRASARAK MANDAL'S JAYAWANT INSTITUTE OF MANAGEMENT STUDIES, TATHAWADE, PUNE 411033","S. NO. 80, PUNE - MUMBAI BYPASS HIGHWAY, TATHAWADE, PUNE-33",PUNE,Private-Self Financing
"GOKHALE EDUCATION SOCIETY'S J.D.C. BYTCO INSTITUTE OF MANAGEMENT STUDIES AND RESEARCH, NASHIK-5","PRIN. T. A. KULKARNI VIDYANAGR, COLLEGE ROAD, NASHIK 422 005.",NASHIK,Private-Self Financing
"KHANDESH COLLEGE EDUCATION SOCIETY'S COLLEGE OF ENGINEERING AND MANAGEMENT, JALGAON","CS NO- 7480 /7323 BEHIND DIC , OFF NH-6",JALGAON,Private-Self Financing
MET INSTITUTE OF MANAGEMENT,"3RD FLOOR, MET COMPLEX, GEN. ARUNKUMAR VAIDYA CHOWK, BANDRA RECLAMATION, BANDRA(W)",MUMBAI SUBURBAN,Private-Self Financing
"VIDYA VIKAS PRATISHTHAN INSTITUTE OF ENGINEERING & TECHNOLOGY,SOLAPUR","SOREGAON-DONGAON ROAD,SOREGAON,SOLAPUR-413004",SOLAPUR,Private-Self Financing
"DEPARTMENT OF BUSINESS MANAGEMENT ADVANCE STUDIES & RESEARCH, C. P. & BERAR E. S. COLLEGE, NAGPUR.","TULSIBAG, MAHAL, NAGPUR-440032",NAGPUR,Private-Self Financing
N.L.DALMIA INSTITUTE OF MANAGEMENT STUDIES AND RESEARCH,"SRISHTI, SECTOR-I, MIRA ROAD(E).",MUMBAI CITY,Private-Self Financing
DATTA MEGHE INSTITUTE OF MANAGEMENT STUDIES,"ATREY LAYOUT, PRATAP NAGAR",NAGPUR,Private-Self Financing
MGM'S INSTITUTE OF MANAGEMENT STUDIES & RESEARCH,"MGM EDUCATIONAL CAMPUS, SEC. 18, KAMOTHE, NAVI MUMBAI PIN-410209",RAIGAD,Private-Self Financing
YADAVRAO TASGAONKAR COLLEGE OF ENGINEERING AND MANAGEMENT,"DR. N. Y. TASGAONKAR TECHNICAL EDUCATION COMPLEX, CHANDHAI, NERAL-KADAV ROAD, POST-NASRAPUR, TAL-KARJAT, DIST-RAIGAD, PIN-410201.",RAIGAD,Private-Self Financing
MAHARASHTRA STATE INSTITUTE OF HOTEL MANAGEMENT & CATERING TECHNOLOGY,"412- C, K. M. MUNSHI MARG, (NEAR BHARTI VIDYABHAVAN) SCHOOL, BAHIRAT PATIL CHOWK, SHIVAJI NAGAR PUNE-411016",PUNE,Government
D.Y.PATIL COLLEGE OF ENGINEERING,"SECTOR-29,NIGDI-PRADHIKARAN,AKURDI, PUNE-411044",PUNE,Private-Self Financing
ATHARVA COLLEGE OF ENGINEERING,"PLOT 8-12, CHARKOP NAKA, MALAD MARVE ROAD,MALAD WEST",MUMBAI CITY,Private-Self Financing
"SHIKSHAN PRASARAK MANDAL'S, DEPARTMENT OF MANAGEMENT STUDIES, NABIRA MAHAVIDYALAYA, KATOL","SHRI ATARSINGH BABULAL MEENA PRINICIPAL SHIKSHAN PRASARAK MANDAL'S DEPARTMENT OF MANAGEMENT STUDIES, NABIRA MAHAVIDYALAYA, KATOL TAHSIL- KATOL DISTRICT- NAGPUR MAHARASHTRA ( 441302)",NAGPUR,Private-Self Financing
VASANTDADA PATIL PRATISHTHAN'S COLLEGE OF ENGINEERING AND VISUAL ARTS,"VASANTDADA PATIL EDUCATIONAL COMPLEX, EASTERN EXPRESS HIGHWAY, NEAR PRIYADARSHINI BUILDING, SION-CHUNABHATTI, MUMBAI - 400 022",MUMBAI CITY,Private-Self Financing
YASHWANTRAO MOHITE INSTITUTE OF MANAGEMENT (MCA PROGRAMME) KARAD,"PUNE-BANGLORE ROAD , MALKAPUR,KARAD PIN 415539 DIST-SATARA MAHARASTRA INDIA",SATARA,Private-Self Financing
DR. PANJABRAO DESHMUKH INSTITUTE OF MANAGEMENT TECHNOLOGY AND RESEARCH,"CONGRESS NAGAR, NAGPUR",NAGPUR,Private-Self Financing
SHAH AND ANCHOR KUTCHHI ENGINEERING COLLEGE,"W.T. PATIL MARG, MET CHOWK, CHEMBUR, MUMBAI-88",MUMBAI CITY,Private-Self Financing
SHRI SAI COLLEGE OF ENGINEERING & TECHNOLOGY,"NEAR VILLAGE LONARA, NAGPUR ROAD, TAH. BHADRAWATI, DIST. CHANDRAPUR (M.S.)",CHANDRAPUR,Private-Self Financing
PROF RAM MEGHE COLLEGE OF ENGINEERING & MANAGEMENT,"NEW EXPRESS HIGHWAY, BADNERA-AMRAVATI",AMRAVATI,Private-Self Financing
PSD SHASTRI EDUCATIONAL FOUNDATION'S ASMA INSTITUTE OF MANAGEMENT,"SR. NO. 85, SHASTRI CAMPUS, NDA ROAD, SHIVANE, DIST. PUNE-411 023",PUNE,Private-Self Financing
PIRENS INSTITUTE OF BUSINESS MANAGEMENT AND ADMINISTRATION (IBMA) LONI (BK),"AP:- LONI (BK) TAL :- RAHATA, DIST:- AHMEDNAGAR",AHMEDNAGAR,Private-Self Financing
"KBP INSTITUTE OF MANAGEMENT STUDIES AND RESEARCH, SATARA","S.NO. 467, 468/2 A/P VARYE TAL SATARA",SATARA,Private-Self Financing
"SHRI SHIVAJI EDUCATION SOCIETY AMRAVATI'S, SCIENCE COLLEGE, (MCA) NAGPUR","HUMPYARD ROAD, CONGRESS NAGAR, NEAR AJNI RAILWAY STATION, NAGPUR 440 012",NAGPUR,Private-Self Financing
RANIBAI AGNIHOTRI INSTITUTE OF COMPUTER & INFORMATION TECHNOLOGY,"AGNIHOTRI COLLEGE CAMPUS, BAPUJI WADI SINDI (MEGHE), WARDHA",WARDHA,Private-Self Financing
"SHIKSHA MANDALâS GOVINDRAM SEKSARIA COLLEGE OF COMMERCE,WARDHA","DEPARTMENT OF ADVANCED MANAGEMENT STUDIES, JAMANALAL BAJAJ MARG, CIVIL LINES, WARDHA",WARDHA,Private-Self Financing
MAHARASHTRA INSTITUTE OF MANAGEMENT,"GAT. NO. 40, KALAMB-WALCHANDNAGAR, PUNE-413114",PUNE,Private-Self Financing
S.N.G. INSTITUTE OF MANAGEMENT AND RESEARCH,"A/P - JAIDWADI, PUNE-NASIK HIGHWAY, RAJGURUNAGAR.",PUNE,Private-Self Financing
CHH. SHAHU INSTITUTE OF BUSINESS EDUCATION & RESEARCH,UNIVERSITY ROAD KOLHAPUR,KOLHAPUR,Private-Self Financing
"DESHBHAKTA RATNAPPA KUMBHAR COLLEGE OF COMMERCE, KOLHAPUR","DRK COLLEGE OF COMMERCE, DEPARTMENT OF MANAGEMENT STUDIES, 649 C, RAVIWAR PETH, KOLHAPUR.",KOLHAPUR,Private-Self Financing
NAVJEEVAN INSTITUTE OF MANAGEMENT,"SHIVSHAKTI NAGAR, 4TH SCHEME, CIDCO, NASHIK 422008.",NASHIK,Private-Self Financing
SCTR'S PUNE INSTITUTE OF COMPUTER TECHNOLOGY,"S.NO.27, PUNE SATARA ROAD, DHANKAWADI",PUNE,Private-Self Financing
WALCHAND INSTITUTE OF TECHNOLOGY,SETH WALCHANAND HIRACHAND MARG POST BOX NO. 634 ASHOK CHOWK,SOLAPUR,Private-Self Financing
SINHGAD INSTITUTE OF MANAGEMENT,"44/1, OFF SINHGAD ROAD, VADGAON(BUDRUK), PUNE- 411 041",PUNE,Private-Self Financing
CENTRAL INSTITUTE OF PETROCHEMICALS ENGINEERING & TECHNOLOGY (CIPET),J-3/2 MIDC INDUSTRIAL AREA,AURANGABAD,Government
BHARATI VIDYAPEETH 'S COLLEGE OF ENGINEERING FOR WOMEN,"PUNE â SATARA ROAD, DHANKAWADI, TAL :- HAWELI DIST :- PUNE. PIN :- 411 043.",PUNE,Private-Self Financing
POST GRADUATE DEPARTMENT OF COMPUTER SCIENCE,"SNDT WOMENS UNIVERSITY, 4TH FLOOR, UMIT BUIILDING, SIR VITHALDAS VIDYA VIHAR, JUHU TARA ROAD, SANTACRUZ WEST",MUMBAI SUBURBAN,State Private University
USHA MITTAL INSTITUTE OF TECHNOLOGY,"S.N.D.T WOMEN'S UNIVERSITY, SIR VITHAL DAS VIHAR, SANTACRUZ(W), MUMBAI",MUMBAI CITY,State Government University
AUDYOGIK SHIKSHAN MANDAL'S INSTITUTE OF PROFESSIONAL STUDIES,"S.NO.29/1+2A, CTS NO.4695, 'B' WING, BEHIND STERLING HONDA SHOWROOM, OLD MUMBAI-PUNE HIGHWAY, PIMPRI WAGHERE, PIMPRI , PUNE-411018",PUNE,Private-Self Financing
"GOVERNMENT COLLEGE OF ENGINEERING, KARAD","VIDYANAGAR, KARAD-415124 DIST: SATARA, MAHARASHTRA",SATARA,Government
SHIVAJIRAO S JONDHALE COLLEGE OF ENGINEERING,"BEHND VENKATESH PETROL PUMP, SONARPADA, DOMBIVLI EAST, TAL- KALYAN, DIST-THANE, PIN-421 204.",THANE,Private-Self Financing
"SINHGAD INSTITUTE OF MANAGEMENT, (MBA PROGRAMME)","S.NO. 44/1, VADGAON (BK.), OFF SINHGAD ROAD, PUNE - 411041.",PUNE,Private-Self Financing
GOVERNMENT COLLEGE OF ENGINEERING AND RESEARCH,"AVASARI (KHURD) TAL. AMBEGAON, DIST. PUNE",PUNE,Government
ADARSH INSTITUTE OF TECHNOLOGY & RESERCH CENTRE.,"A/P:- KHAMBALE(BHA),VITA. GAT NO. 421, TAL - KHANAPUR, DIST- SANGLI, PIN- 415311",SANGLI,Private-Self Financing
KRISHNA INSTITUTE OF COMPUTER APPLICATION & MANAGEMENT,"GAT NO. 40 & 41 AT-POST - WATHAR, TAL- KARAD, DIST- SATARA.",SATARA,Private-Self Financing
MIMA INSTITUTE OF MANAGEMENT,"SR.NO. 33/1, BUILDING-B, OPP. CHHATRAPATI SHIVAJI SPORTS COMPLEX, BALEWADI,PUNE-411045",PUNE,Private-Self Financing
H.V.P.MANDAL'S COLLEGE OF ENGINEERING & TECHNOLOGY,"HANUMAN VYAYAM NAGAR, HVPM CAMPUS AMRAVATI-444605",AMRAVATI,Private-Self Financing
G.H.RAISONI COLLEGE OF ENGINEERING & MANAGEMENT,"GAT NO.1200, DOMKHEL ROAD, WAGHOLI, PUNE - 412 207",PUNE,Private-Self Financing
"ABHINAV EDUCATION SOCIETY'S COLLEGE OF ENGINEERING AND TECHNOLOGY (DEGREE),WADWADI",S. NO 209 AT- WADWADI TAL KHANDALA DIST SATARA STATE MAHARASHTRA,SATARA,Private-Self Financing
"ANNASAHEB DANGE COLLEGE OF ENGINEERING AND TECHNOLOGY, ASHTA","NEAR OLD AIRPORT, A/P - ASHTA, TAL - WALWA, DIST - SANGLI",SANGLI,Private-Self Financing
NATIONAL INSTITUTE OF ELECTRONICS & INFORMATION TECHNOLOGY (NIELIT).AURANGABAD,DOEACC CENTRE AURANGABAD DR. B.A.M. UNIVERSITY CAMPUS AURANGABAD,AURANGABAD,Government
THADOMAL SHAHANI ENGINEERING COLLEGE,"P.G. KHER MARG,32ND ROAD,TPS III OFF. LINKING ROAD BANDRA(WEST) MUMBAI 400050",MUMBAI SUBURBAN,Private-Self Financing
DR. ASHOK GUJAR TECHNICAL INSTITUTE'S DR. DAULATRAO AHER COLLEGE OF ENGINEERING,"VIDYANAGAR EXTENSION, BANAWADI, KARAD",SATARA,Private-Self Financing
"KCES'S INSTITUTE OF MANAGEMENT & RESEARCH, JALGAON","IMR CAMPUS, BEHIND DIC, NEAR NH-06",JALGAON,Private-Self Financing
SHRI RAMDEOBABA COLLEGE OF ENGINEERING AND MANAGEMENT,"RAMDEO TEKDI, KATOL ROAD, GITTIKHADAN, NAGPUR",NAGPUR,Private-Self Financing
MATOSHRI PRATISHTHAN'S GROUP OF INSTITUTION SCHOOL OF ENGINEERING AND SCHOOL OF MANAGEMENT,"JIJAU NAGAR,OFF LATUR NANDED HIGHWAY,AT KHUPSARWADI,PO.VISHNUPURI,",NANDED,Private-Self Financing
BHARATI VIDYAPEETH'S COLLEGE OF ENGINEERING KOLHAPUR,"BHARATI VIDYAPEETH'S COLLEGE OF ENGINEERING, NEAR CHITRANAGARI, KOLHAPUR-416013",KOLHAPUR,Private-Self Financing
TULSIRAMJI GAIKWAD-PATIL COLLEGE OF ENGINEERING AND TECHNOLOGY,"KHASARA NO. 8/1, P.S.K. 74, MOHGAON, WARDHA ROAD, NAGPUR",NAGPUR,Private-Self Financing
P. G. COLLEGE OF ENGINEERING AND TECHNOLOGY,"P. G. KNOWLEDGE CITY SANT BHUMI NAGZIRI,CHAUPALE",NANDURBAR,Private-Self Financing
UNITECH B SCHOOL,"SURVEY NO. 138, 1/2, JEEVAN NAGAR, TATHAWADE, PUNE, MAHARASHTRA 411033",PUNE,Private-Self Financing
DR. D. Y. PATIL PRATISHTHANS D Y PATIL PGDM INSTITUTE AKURDI PUNE,"DR. D. Y. PATIL EDUCATIONAL COMPLEX, SECTOR 29, MAUJE RAVET, PCNTDA, RAVET ROAD, AKURDI, PUNE",PUNE,Private-Self Financing
ADITYA COLLEGE OF ARCHITECTURE,ADITYA EDUCATIONAL CAMPUS R M BHATTAD MARG RAM NAGAR KALPANA CHAWLA CHOWK BORIVALI WEST,MUMBAI SUBURBAN,Private-Self Financing
SHRI SWAMI SAMARTH INSTITUTE OF MANAGEMENT AND TECHNOLOGY,"AT- MALWADI, POST- BOTA, TAL- SANGAMNER, DIST- AHMEDNAGAR. 422602",AHMEDNAGAR,Private-Self Financing
EAGLEWOOD POLYTECHNIC INSTITUTE,"A/P PHULEPIMPALGAON, TAL. MAJALGAON",BEED,Private-Self Financing
RAJARSHI SHAHU INSTITUTE OF MANAGEMENT,"P-75, BEHIND GARWARE POLYESTER, CHIKALTHANA MIDC, AURANGABAD",AURANGABAD,Private-Self Financing
"MCT'S RAJIV GANDHI INSTITUTE OF TECHNOLOGY, MUMBAI","JUHU-VERSOVA LINK ROAD, VERSOVA, ANDHERI (W), MUMBAI-400 053",MUMBAI SUBURBAN,Private-Self Financing
W.K.B.S.MANDAL'S DR. SURYAKANTA R. AJMERA MCA COLLEGE FOR WOMEN,"VIDYA NAGARI, NERA DATTA MANDIR, DEOPUR,DHULE",DHULE,Private-Self Financing
AISSMS INSTITUTE OF MANAGEMENT,"KENNEDY ROAD, NEAR R.T.O., PUNE- 411 001",PUNE,Private-Self Financing
EVEREST EDUCATIONAL SOCIETYS GROUP OF INSTITUTIONS,"GUT NO. 187 & 189 OHAR, JATWADA ROAD AURANGABAD",AURANGABAD,Private-Self Financing
NCRD'S STERLING INSTITUTE OF MANAGEMENT STUDIES,"PLOT NO.93/93A, SECTOR 19, NERUL (EAST), NAVI MUMBAI",THANE,Private-Self Financing
KALYANI CHARITABLE TRUST'S LATE G.N.SAPKAL COLLEGE OF ENGINEERING,"SAPKAL KNOWLEDGE HUB,KALYANI HILLS, ANJANERI-WADHOLI,TAL.TRIMBAKESHWAR,DIST.NASHIK (M.S.) PIN-422 212",NASHIK,Private-Self Financing
RACHANA SANSAD COLLEGE OF APPLIED ART & CRAFT,"5TH FLOOR, 278, SHANKAR GHANEKAR MARG, PRABHADEVI, MUMBAI-400025 STATE-MAHARASHTRA (INDIA)",MUMBAI CITY,Private-Self Financing
SARASWATI COLLEGE,"SARASWATI COLLEGE GAULKHED ROAD, SURVEY NO 374/1 SHEGAON 444203 DIST: BULDHANA",BULDHANA,Private-Self Financing
"MAHATMA GANDHI MISSION'S ,JAWAHARLAL NEHRU ENGINEERING COLLEGE","N-6,CIDCO,AURANGABAD- 431003",AURANGABAD,Private-Self Financing
SINHGAD INSTITUTE OF BUSINESS ADMINISTRATION & COMPUTER APPLICATION,"GAT NO. 309/310, KUSGAON (BUDRUK), OFF MUMBAI - PUNE EXPRESSWAY, LONAVALA, TALUKA MAVAL, DIST. PUNE 410401",PUNE,Private-Self Financing
THAKUR INSTITUTE OF MANAGEMENT STUDIES AND RESEARCH,"SHYAMNARAYAN THAKUR MARG, THAKUR VILLAGE, KANDIVALI(EAST), MUMBAI 400 101",MUMBAI CITY,Private-Self Financing
NAGPUR INSTITUTE OF TECHNOLOGY,"SURVEY NO. 13/2, MAHURZARI, NEAR FETARI, KATOL ROAD, NAGPUR-441501",NAGPUR,Private-Self Financing
PADMABHOOSHAN VASANTRAODADA PATIL INSTITUTE OF TECHNOLOGY,"AT- BUDHGAON, TALUKA- MIRAJ, DIST.- SANGLI.",SANGLI,Private-Self Financing
MAHARSHI KARVE STREE SHIKSHAN SAMSTHA'S CUMMINS COLLEGE OF ENGINEERING FOR WOMEN,"KARVENAGAR, PUNE 411 052",PUNE,Private-Self Financing
"LAD & SMT R.P. COLLEGE FOR WOMEN , DEPT OF HMCT",SEMINARY HILLS,NAGPUR,Govt aided
